title,publishedData,snippet
"Cooking, Bleach Cleaning, and Air Conditioning Strongly Impact Levels of HONO in a House","…, A Novoselac, DK Farmer, ME Vance… - Environmental …, 2020 - ACS Publications","The relative importance of common activities on indoor nitrous acid (HONO) mixing ratios was explored during high time resolution, month-long measurements by chemical ionization mass spectrometry in a previously unoccupied house. Indoor HONO varied from 0.2 to 84.0 …"
"Outdoor urban nanomaterials: the emergence of a new, integrated, and critical field of study","M Baalousha, Y Yang, ME Vance, BP Colman… - Science of The Total …, 2016 - Elsevier","Engineered nanomaterials (ENMs) are currently widely incorporated in the outdoor urban environmental fabric and numerous new applications and products containing ENMs are expected in the future. As has been shown repeatedly, products containing ENMs have the …"
Transformation of cerium oxide nanoparticles from a diesel fuel additive during combustion in a diesel engine,"JG Dale, SS Cox, ME Vance, LC Marr… - … science & technology, 2017 - ACS Publications","Nanoscale cerium oxide is used as a diesel fuel additive to reduce particulate matter emissions and increase fuel economy, but its fate in the environment has not been established. Cerium oxide released as a result of the combustion of diesel fuel containing …"
Validation of a novel method for assessing competency in polypectomy,"S Gupta, P Bassett, R Man, N Suzuki, ME Vance… - Gastrointestinal …, 2012 - Elsevier",Background There is a gap in the formal assessment of technical skills in polypectomy that is now considered an integral part of colonoscopy. Polypectomy has been shown to reduce the incidence of colorectal cancer but does have associated complications. Polypectomy …
Real‐time organic aerosol chemical speciation in the indoor environment using extractive electrospray ionization mass spectrometry,"…, AH Goldstein, DK Farmer, ME Vance… - Indoor …, 2021 - Wiley Online Library","Understanding the sources and composition of organic aerosol (OA) in indoor environments requires rapid measurements, since many emissions and processes have short timescales. However, real‐time molecular‐level OA measurements have not been reported indoors …"
A novel method for determining the difficulty of colonoscopic polypectomy,"…, N Suzuki, Z Tsiamoulos, R Valori, ME Vance… - Frontline …, 2013 - fg.bmj.com","Introduction Endoscopists are now expected to perform polypectomy routinely. Colonic polypectomy varies in difficulty, depending on polyp morphology, size, location and access. The measurement of the degree of difficulty of polypectomy, based on polyp characteristics …"
Glass surface evolution following gas adsorption and particle deposition from indoor cooking events as probed by microspectroscopic analysis,"…, R O'Brien, D Rim, RL Corsi, ME Vance… - … Science: Processes & …, 2020 - pubs.rsc.org",Indoor surfaces are extremely diverse and their interactions with airborne compounds and aerosols influence the lifetime and reactivity of indoor emissions. Direct measurements of the physical and chemical state of these surfaces provide insights into the underlying …
Nano-enabled personal care products: Current developments in consumer safety,"HI Adawi, MA Newbold, JM Reed, ME Vance… - NanoImpact, 2018 - Elsevier",Increasing adoption of nanotechnologies in personal care products is outpacing comprehensive evaluation of consumer safety risks involving exposure to nano-additives. This review examines the prevalence of personal care products containing nanomaterials …
Volatile organic compound emissions during HOMEChem,"…, K Kristensen, A Novoselac, ME Vance… - Indoor …, 2021 - Wiley Online Library","Quantifying speciated concentrations and emissions of volatile organic compounds (VOCs) is critical to understanding the processes that control indoor VOC dynamics, airborne chemistry, and human exposures. Here, we present source strength profiles from the …"
Influence of powder type on aerosol emissions in powder-binder jetting with emphasis on lunar regolith for in situ space applications,"…, J Osio-Norgaard, S Miller, ME Vance… - ACS ES&T …, 2020 - ACS Publications","Powder-binder jetting is an additive process with applications for manufacturing complex geometric structures, such as lightweighting, mold making, and in situ resource utilization (ISRU) for space applications. With this technique, a powder feedstock is spread across a …"
